         65111546 function calls (54041722 primitive calls) in 109.898 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7425    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap>:100(acquire)
   3928/1    0.008    0.000    1.063    1.063 <frozen importlib._bootstrap>:1022(_find_and_load)
  2682/18    0.001    0.000    0.284    0.016 <frozen importlib._bootstrap>:1038(_gcd_import)
   1316/4    0.002    0.000    1.061    0.265 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     7425    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:125(release)
     3928    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
     3928    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:169(__enter__)
     3928    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:173(__exit__)
     7425    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     6552    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:198(cb)
     3497    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   1489/1    0.001    0.000    1.063    1.063 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     8772    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
     1257    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     2438    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:391(cached)
     3064    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
     1228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
     1214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1228    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1228    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   1222/1    0.003    0.000    1.063    1.063 <frozen importlib._bootstrap>:664(_load_unlocked)
     6552    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:71(__init__)
     1250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
     1248    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     3746    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     3746    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:902(_resolve_name)
     1250    0.006    0.000    0.057    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     2682    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
   1259/1    0.003    0.000    1.063    1.063 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
     1217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
     1214    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
     1213    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1099(set_data)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       12    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
     12/9    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1219(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
     8206    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     8206    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(exec_module)
     2433    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1330(invalidate_caches)
     4866    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      131    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1416    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     1248    0.003    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     4490    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1248    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1471(find_distributions)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1764    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1048    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1510(invalidate_caches)
     1222    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1379    0.008    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      159    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     1629    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      132    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1665(_get_supported_file_loaders)
     1357    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_write_atomic)
     2426    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     1225    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:522(_calc_mode)
1218/1217    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     1212    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1212    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     1212    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:683(_code_to_timestamp_pyc)
     1379    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
     1226    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
     3636    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:866(is_package)
     1213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
   1213/1    0.002    0.000    1.063    1.063 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(source_to_code)
     1213    0.006    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      132    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       32    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:2(__div__)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:350(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1109(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1276(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1388(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1510(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1771(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
     5212    0.009    0.000    0.014    0.000 _VF.py:27(__getattr__)
      630    0.000    0.000    0.000    0.000 __future__.py:68(get_swap_module_params_on_conversion)
      131    0.003    0.000    3.433    0.026 __init__.py:1(<module>)
      126    0.000    0.000    0.000    0.000 __init__.py:100(section_pairs)
      128    0.000    0.000    0.007    0.000 __init__.py:1018(<genexpr>)
      292    0.000    0.000    0.001    0.000 __init__.py:102(<genexpr>)
  2682/18    0.002    0.000    0.284    0.016 __init__.py:108(import_module)
      292    0.000    0.000    0.000    0.000 __init__.py:108(read)
      236    0.000    0.000    0.000    0.000 __init__.py:119(valid)
       24    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:1261(append)
    10420    0.003    0.000    0.003    0.000 __init__.py:129(annotate)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
       95    0.000    0.000    0.001    0.000 __init__.py:1315(getLogger)
       88    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
        4    0.000    0.000    0.000    0.000 __init__.py:14(is_available)
       88    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1467(info)
     5211    0.005    0.000    0.007    0.000 __init__.py:152(_is_compiled)
     5210    0.012    0.000    0.062    0.000 __init__.py:157(_nvml_based_avail)
        4    0.000    0.000    0.000    0.000 __init__.py:16(_find_concrete_subclasses)
        2    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
     5210    0.011    0.000    0.086    0.000 __init__.py:161(is_available)
     5213    0.010    0.000    0.010    0.000 __init__.py:1710(getEffectiveLevel)
       20    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        4    0.000    0.000    0.000    0.000 __init__.py:177(register_decomposition)
      166    0.000    0.000    0.000    0.000 __init__.py:190(_for)
       88    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        4    0.000    0.000    0.001    0.000 __init__.py:205(decomposition_decorator)
       95    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
      166    0.000    0.000    0.000    0.000 __init__.py:211(matches)
        4    0.000    0.000    0.001    0.000 __init__.py:214(register)
       98    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.001    0.001    0.002    0.002 __init__.py:224(get_decompositions)
       98    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
      332    0.000    0.000    0.000    0.000 __init__.py:231(<genexpr>)
     5210    0.004    0.000    0.004    0.000 __init__.py:233(_tensor_or_tensors_to_tuple)
        1    0.000    0.000    0.000    0.000 __init__.py:24(is_available)
     5210    0.062    0.000    1.513    0.000 __init__.py:243(backward)
       11    0.000    0.000    0.010    0.001 __init__.py:267(_make_prim)
        9    0.000    0.000    0.062    0.007 __init__.py:2672(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:29(Backend)
